GEOID,B13016_001E,B13016_002E,B13016_003E,B13016_004E,B13016_005E,B13016_006E,B13016_007E,B13016_008E,B13016_009E,B13016_010E,B13016_011E,B13016_012E,B13016_013E,B13016_014E,B13016_015E,B13016_016E,B13016_017E
37013931002,680.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,657.0,120.0,69.0,119.0,104.0,103.0,35.0,107.0
37015960100,836.0,15.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,821.0,80.0,86.0,135.0,83.0,115.0,86.0,236.0
37015960200,864.0,109.0,0.0,0.0,37.0,0.0,7.0,46.0,19.0,755.0,72.0,85.0,142.0,85.0,94.0,174.0,103.0
37015960300,493.0,31.0,0.0,21.0,0.0,7.0,3.0,0.0,0.0,462.0,72.0,58.0,48.0,42.0,128.0,51.0,63.0
37015960401,501.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,490.0,48.0,151.0,29.0,45.0,64.0,74.0,79.0
37015960402,404.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,367.0,115.0,41.0,45.0,58.0,1.0,77.0,30.0
37017950101,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,83.0,93.0,124.0,0.0,34.0,48.0,33.0
37017950102,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,31.0,0.0,79.0,19.0,53.0,4.0,51.0
37017950200,478.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,460.0,22.0,62.0,80.0,19.0,108.0,47.0,122.0
37017950301,680.0,72.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,608.0,21.0,228.0,20.0,68.0,24.0,114.0,133.0
37017950302,628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,59.0,86.0,113.0,103.0,58.0,2.0,207.0
37017950401,759.0,130.0,0.0,44.0,56.0,12.0,0.0,18.0,0.0,629.0,101.0,0.0,122.0,190.0,83.0,0.0,133.0
37017950402,762.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,751.0,191.0,216.0,0.0,71.0,4.0,175.0,94.0
37017950501,763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.0,149.0,97.0,89.0,17.0,225.0,179.0,7.0
37017950502,670.0,25.0,0.0,0.0,7.0,18.0,0.0,0.0,0.0,645.0,161.0,0.0,81.0,49.0,46.0,108.0,200.0
37017950601,567.0,8.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,559.0,103.0,119.0,0.0,170.0,73.0,69.0,25.0
37017950602,405.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,378.0,37.0,30.0,66.0,29.0,64.0,110.0,42.0
37019020101,574.0,26.0,0.0,0.0,21.0,5.0,0.0,0.0,0.0,548.0,53.0,76.0,100.0,46.0,43.0,133.0,97.0
37019020102,1014.0,74.0,0.0,0.0,46.0,3.0,25.0,0.0,0.0,940.0,105.0,82.0,186.0,178.0,105.0,156.0,128.0
37019020105,887.0,19.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,868.0,65.0,154.0,85.0,94.0,179.0,106.0,185.0
37019020106,775.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,770.0,59.0,99.0,29.0,169.0,184.0,142.0,88.0
37019020107,986.0,84.0,0.0,0.0,41.0,43.0,0.0,0.0,0.0,902.0,31.0,123.0,186.0,287.0,23.0,192.0,60.0
37019020108,893.0,13.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,880.0,98.0,206.0,140.0,68.0,66.0,146.0,156.0
37019020201,1355.0,114.0,0.0,17.0,0.0,25.0,31.0,41.0,0.0,1241.0,77.0,109.0,313.0,128.0,225.0,297.0,92.0
37019020203,504.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,495.0,19.0,13.0,61.0,92.0,23.0,101.0,186.0
37019020204,1380.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1364.0,265.0,26.0,152.0,202.0,232.0,208.0,279.0
37019020205,953.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,951.0,130.0,36.0,93.0,139.0,220.0,95.0,238.0
37019020206,364.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,328.0,12.0,0.0,204.0,19.0,33.0,27.0,33.0
37019020304,784.0,83.0,0.0,0.0,24.0,59.0,0.0,0.0,0.0,701.0,80.0,34.0,57.0,74.0,105.0,139.0,212.0
37019020305,362.0,45.0,0.0,0.0,9.0,0.0,36.0,0.0,0.0,317.0,0.0,64.0,60.0,66.0,25.0,32.0,70.0
37019020306,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,22.0,14.0,42.0,47.0,20.0,88.0
37019020307,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
37019020308,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,96.0,24.0,15.0,29.0,33.0,43.0,181.0
37019020311,257.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,233.0,32.0,61.0,10.0,8.0,0.0,90.0,32.0
37019020312,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,10.0,20.0,10.0,14.0,27.0,24.0,24.0
37019020313,269.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,244.0,17.0,13.0,55.0,0.0,22.0,38.0,99.0
37019020314,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
37019020315,180.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,138.0,16.0,0.0,0.0,28.0,0.0,24.0,70.0
37019020316,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,6.0,0.0,7.0,0.0,0.0,7.0,89.0
37019020404,609.0,38.0,0.0,0.0,0.0,13.0,0.0,25.0,0.0,571.0,63.0,45.0,72.0,37.0,116.0,166.0,72.0
37019020405,813.0,23.0,0.0,0.0,0.0,10.0,13.0,0.0,0.0,790.0,165.0,105.0,105.0,65.0,75.0,56.0,219.0
37019020406,89.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,81.0,21.0,9.0,6.0,8.0,0.0,9.0,28.0
37019020407,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,15.0,32.0,54.0,12.0,85.0,96.0
37019020408,326.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,304.0,40.0,13.0,25.0,91.0,77.0,37.0,21.0
37019020409,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,154.0,53.0,42.0,21.0,0.0,110.0,48.0
37019020504,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,13.0,19.0,5.0
37019020505,623.0,67.0,0.0,18.0,0.0,19.0,0.0,15.0,15.0,556.0,101.0,73.0,114.0,64.0,21.0,45.0,138.0
37019020508,272.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,255.0,16.0,23.0,4.0,32.0,22.0,15.0,143.0
37019020510,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,29.0,286.0,47.0,30.0,43.0,31.0,70.0
37019020511,226.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,217.0,51.0,14.0,18.0,44.0,22.0,37.0,31.0
37019020512,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,14.0,7.0,0.0,3.0,8.0,2.0,25.0
37019020513,362.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,354.0,102.0,6.0,32.0,9.0,21.0,90.0,94.0
37019020514,424.0,21.0,4.0,0.0,0.0,17.0,0.0,0.0,0.0,403.0,19.0,0.0,24.0,106.0,76.0,53.0,125.0
37019020515,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,178.0,133.0,61.0,0.0,57.0,43.0,61.0
