GEOID,B08101_001E,B08101_002E,B08101_003E,B08101_004E,B08101_005E,B08101_006E,B08101_007E,B08101_008E,B08101_009E,B08101_010E,B08101_011E,B08101_012E,B08101_013E,B08101_014E,B08101_015E,B08101_016E,B08101_017E,B08101_018E,B08101_019E,B08101_020E,B08101_021E,B08101_022E,B08101_023E,B08101_024E,B08101_025E,B08101_026E,B08101_027E,B08101_028E,B08101_029E,B08101_030E,B08101_031E,B08101_032E,B08101_033E,B08101_034E,B08101_035E,B08101_036E,B08101_037E,B08101_038E,B08101_039E,B08101_040E,B08101_041E,B08101_042E,B08101_043E,B08101_044E,B08101_045E,B08101_046E,B08101_047E,B08101_048E,B08101_049E,B08101_050E,B08101_051E,B08101_052E,B08101_053E,B08101_054E,B08101_055E,B08101_056E
37155960501,1239.0,51.0,37.0,601.0,387.0,93.0,36.0,34.0,1151.0,38.0,37.0,566.0,365.0,82.0,36.0,27.0,68.0,0.0,0.0,35.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0
37155960502,1128.0,51.0,174.0,517.0,220.0,94.0,34.0,38.0,986.0,39.0,139.0,465.0,199.0,74.0,32.0,38.0,44.0,0.0,0.0,32.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,5.0,0.0,10.0,0.0,0.0,0.0,44.0,4.0,24.0,16.0,0.0,0.0,0.0,0.0,31.0,0.0,6.0,4.0,11.0,10.0,0.0,0.0
37155960503,656.0,13.0,86.0,366.0,102.0,50.0,27.0,12.0,625.0,13.0,80.0,347.0,102.0,44.0,27.0,12.0,31.0,0.0,6.0,19.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37155960601,1499.0,33.0,111.0,647.0,272.0,175.0,189.0,72.0,1313.0,33.0,111.0,564.0,208.0,161.0,170.0,66.0,65.0,0.0,0.0,51.0,0.0,14.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,78.0,0.0,0.0,19.0,43.0,0.0,16.0,0.0
37155960602,837.0,0.0,163.0,316.0,228.0,25.0,11.0,94.0,686.0,0.0,150.0,240.0,189.0,25.0,0.0,82.0,127.0,0.0,13.0,76.0,27.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
37155960701,2392.0,117.0,121.0,1029.0,657.0,181.0,173.0,114.0,1883.0,97.0,114.0,734.0,578.0,130.0,133.0,97.0,251.0,20.0,7.0,136.0,59.0,9.0,20.0,0.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,44.0,0.0,0.0,33.0,0.0,11.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,9.0,9.0,8.0,166.0,0.0,0.0,126.0,20.0,0.0,11.0,9.0
37155960702,1138.0,35.0,61.0,528.0,339.0,76.0,63.0,36.0,963.0,23.0,61.0,445.0,264.0,71.0,63.0,36.0,166.0,12.0,0.0,83.0,66.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37155960801,594.0,30.0,27.0,322.0,44.0,106.0,31.0,34.0,456.0,21.0,27.0,270.0,42.0,58.0,26.0,12.0,65.0,9.0,0.0,14.0,0.0,35.0,0.0,7.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,38.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0
37155960802,267.0,6.0,12.0,126.0,55.0,20.0,25.0,23.0,204.0,6.0,12.0,86.0,44.0,20.0,25.0,11.0,46.0,0.0,0.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
37155960900,877.0,20.0,31.0,442.0,177.0,60.0,64.0,83.0,682.0,10.0,17.0,334.0,148.0,43.0,64.0,66.0,145.0,7.0,14.0,76.0,24.0,17.0,0.0,7.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,32.0,0.0,0.0,0.0,10.0
